,Company Name,BSE Code,NSESymbol,Links
0,Adani Ports,532921,ADANIPORTS,/company/adani-ports-21281.html
1,Asian Paints,500820,ASIANPAINT,/company/asian-paints-34.html
2,Axis Bank,532215,AXISBANK,/company/axis-bank-5554.html
3,Bajaj Auto,532977,BAJAJ-AUTO,/company/bajaj-auto-28074.html
4,Bajaj Fin.,500034,BAJFINANCE,/company/bajaj-fin-3722.html
5,Bajaj Finserv,532978,BAJAJFINSV,/company/bajaj-finserv-28075.html
6,B P C L,500547,BPCL,/company/b-p-c-l-2290.html
7,Bharti Airtel,532454,BHARTIARTL,/company/bharti-airtel-15542.html
8,Bharti Infra.,534816,INFRATEL,/company/bharti-infra-40279.html
9,Britannia Inds.,500825,BRITANNIA,/company/britannia-inds-93.html
10,Cipla,500087,CIPLA,/company/cipla-114.html
11,Coal India,533278,COALINDIA,/company/coal-india-12019.html
12,Dr Reddy's Labs,500124,DRREDDY,/company/dr-reddy-s-labs-815.html
13,Eicher Motors,505200,EICHERMOT,/company/eicher-motors-151.html
14,GAIL (India),532155,GAIL,/company/gail-india-12350.html
15,Grasim Inds,500300,GRASIM,/company/grasim-inds-227.html
16,HCL Technologies,532281,HCLTECH,/company/hcl-technologies-5656.html
17,HDFC Bank,500180,HDFCBANK,/company/hdfc-bank-4987.html
18,Hero Motocorp,500182,HEROMOTOCO,/company/hero-motocorp-237.html
19,Hindalco Inds.,500440,HINDALCO,/company/hindalco-inds-252.html
20,Hind. Unilever,500696,HINDUNILVR,/company/hind-unilever-255.html
21,H D F C,500010,HDFC,/company/h-d-f-c-230.html
22,ICICI Bank,532174,ICICIBANK,/company/icici-bank-5418.html
23,ITC,500875,ITC,/company/itc-301.html
24,I O C L,530965,IOC,/company/i-o-c-l-12002.html
25,IndusInd Bank,532187,INDUSINDBK,/company/indusind-bank-5531.html
26,Infosys,500209,INFY,/company/infosys-2806.html
27,JSW Steel,500228,JSWSTEEL,/company/jsw-steel-4764.html
28,Kotak Mah. Bank,500247,KOTAKBANK,/company/kotak-mah-bank-2330.html
29,Larsen & Toubro,500510,LT,/company/larsen-toubro-348.html
30,M & M,500520,M&M,/company/m-m-365.html
31,Maruti Suzuki,532500,MARUTI,/company/maruti-suzuki-5496.html
32,NTPC,532555,NTPC,/company/ntpc-12001.html
33,Nestle India,500790,NESTLEIND,/company/nestle-india-175.html
34,O N G C,500312,ONGC,/company/o-n-g-c-6068.html
35,Power Grid Corpn,532898,POWERGRID,/company/power-grid-corpn-5455.html
36,Reliance Inds.,500325,RELIANCE,/company/reliance-inds-476.html
37,Shree Cement,500387,SHREECEM,/company/shree-cement-508.html
38,St Bk of India,500112,SBIN,/company/st-bk-of-india-1375.html
39,Sun Pharma.Inds.,524715,SUNPHARMA,/company/sun-pharma-inds-4325.html
40,TCS,532540,TCS,/company/tcs-5400.html
41,Tata Motors,500570,TATAMOTORS,/company/tata-motors-560.html
42,Tata Steel,500470,TATASTEEL,/company/tata-steel-566.html
43,Tech Mahindra,532755,TECHM,/company/tech-mahindra-17215.html
44,Titan Company,500114,TITAN,/company/titan-company-1016.html
45,UPL,512070,UPL,/company/upl-2461.html
46,UltraTech Cem.,532538,ULTRACEMCO,/company/ultratech-cem-24951.html
47,Vedanta,500295,VEDL,/company/vedanta-502.html
48,Wipro,507685,WIPRO,/company/wipro-614.html
49,Zee Entertainmen,505537,ZEEL,/company/zee-entertainmen-3126.html
